symptom,possible_causes,home_remedy,lifestyle_tip,warning_sign,risk_level,yoga_or_exercise
Joint Pain,Arthritis; overuse injury; gout; autoimmune condition; infection,Rest the joint; ice pack for 15-20 min; compression wrap; elevation; turmeric milk,Maintain healthy weight; regular low-impact exercise; stretch before activity; omega-3 rich diet,Sudden severe swelling; inability to move joint; joint deformity; fever with joint pain,moderate,Gentle range of motion exercises; swimming; Tadasana (mountain pose); seated stretches
Anxiety,Stress; caffeine; health concerns; life changes; underlying conditions,Deep breathing exercises; grounding techniques (5-4-3-2-1); chamomile tea; journaling; talking to someone,Regular exercise; limit caffeine; maintain sleep routine; practice mindfulness; social connection,Panic attacks with chest pain; thoughts of self-harm; inability to function daily; persistent severe anxiety,moderate,Pranayama breathing; Shavasana; meditation; Balasana (child's pose); yoga nidra
Insomnia,Stress; anxiety; poor sleep habits; caffeine; screen time; medication side effect,Warm milk before bed; lavender aromatherapy; limit caffeine after 2pm; warm bath; reading,Fixed sleep and wake times; dark cool bedroom; no screens 1hr before bed; exercise during day,Persistent insomnia over 4 weeks; daytime impairment; sleep apnea symptoms; depression,moderate,Yoga Nidra; legs up the wall pose; progressive muscle relaxation; evening meditation
Fatigue,Poor sleep; anemia; thyroid issues; diabetes; depression; dehydration,Ensure adequate rest; balanced meals; short power naps; stay hydrated; sunlight exposure,Regular exercise; balanced diet rich in iron and B12; manage stress; consistent sleep schedule,Unexplained persistent fatigue over 2 weeks; fatigue with weight loss; severe weakness; confusion,moderate,Gentle yoga; Surya Namaskar (sun salutation); walking; energizing Pranayama
Skin Rash,Allergic reaction; contact dermatitis; eczema; medication reaction; infection,Cool compress; calamine lotion; oatmeal bath; avoid scratching; aloe vera gel,Identify and avoid allergens; use gentle soaps; moisturize regularly; wear breathable fabrics,Rash spreading rapidly; difficulty breathing with rash; blistering; fever with rash; facial swelling,moderate,Stress-reducing meditation; gentle stretching; avoid hot yoga if skin is irritated
Muscle Cramps,Dehydration; electrolyte imbalance; overexertion; poor circulation; medication side effect,Stretch the affected muscle; massage gently; apply heat; drink water with electrolytes; magnesium-rich foods,Stay hydrated; warm up before exercise; eat bananas and nuts; stretch before bed,Frequent severe cramps; swelling or redness in leg; muscle weakness; cramps not improving,low,Gentle stretching; calf raises; Supta Padangusthasana (reclining hand-to-big-toe pose); walking
Acid Reflux,Overeating; spicy food; lying down after eating; obesity; hiatal hernia,Elevate head while sleeping; don't eat 3hrs before bed; small frequent meals; baking soda water; ginger tea,Avoid trigger foods; maintain healthy weight; eat slowly; don't wear tight clothing; quit smoking,Difficulty swallowing; persistent heartburn; unintended weight loss; vomiting blood; black stools,moderate,Vajrasana after meals; gentle walking after eating; diaphragmatic breathing; avoid inversions after meals
Allergic Reaction,Food allergy; medication allergy; insect stings; pollen; dust; pet dander,Antihistamine (if available); cold compress; remove allergen; wash affected area; calamine lotion,Identify and avoid triggers; carry antihistamines; wear medical alert bracelet; keep environment clean,Throat swelling; difficulty breathing; rapid heartbeat; dizziness or fainting; widespread hives,high,Pranayama when stable; Neti pot for nasal allergies; stress-reducing meditation
Burning Urination,Urinary tract infection; dehydration; STI; kidney stones; irritation,Drink plenty of water; cranberry juice (unsweetened); avoid caffeine and alcohol; warm compress on abdomen,Stay hydrated; urinate after intercourse; wipe front to back; avoid irritating products,Blood in urine; fever with urinary symptoms; severe flank pain; inability to urinate,moderate,Kegel exercises; gentle walking; hip-opening stretches; adequate hydration
Eye Strain,Prolonged screen use; poor lighting; uncorrected vision; dry eyes,20-20-20 rule (every 20min look 20ft away for 20sec); artificial tears; warm compress; blink frequently,Adjust screen brightness; proper lighting; regular eye checkups; screen breaks every hour,Sudden vision loss; severe eye pain; double vision; flashes of light; eye injury,moderate,Palming exercise; eye rotations; Trataka (candle gazing meditation); neck and shoulder stretches
Swelling in Legs,Prolonged standing; heart failure; kidney issues; DVT; medication side effect; pregnancy,Elevate legs above heart level; compression stockings; reduce salt intake; gentle walking; cold compress,Regular exercise; avoid prolonged standing or sitting; maintain healthy weight; reduce sodium,Sudden one-sided leg swelling with pain; shortness of breath with leg swelling; skin discoloration; warmth and redness,high,Legs up the wall pose; ankle pumps; gentle calf stretches; Viparita Karani
High Blood Pressure Symptoms,Chronic hypertension; stress; medication non-compliance; kidney disease; sleep apnea,Deep breathing exercises; reduce sodium intake; DASH diet; stress management; regular monitoring,Regular exercise; limit alcohol; reduce salt; maintain healthy weight; take medications as prescribed,Severe headache with high BP reading; chest pain; vision changes; confusion; nosebleeds,high,Shavasana; Pranayama; gentle walking; meditation; avoid intense straining exercises
Low Blood Sugar,Missed meals; excess insulin; alcohol; intense exercise; medication effect,Consume 15g fast-acting sugar (juice glucose tablets candy); recheck in 15 min; follow with complex carb,Regular meal schedule; carry glucose tablets; monitor blood sugar; balanced meals with protein,Unconsciousness; seizures; repeated episodes; inability to swallow; confusion not improving with sugar,high,Avoid exercise during episode; gentle walking after recovery; regular meal-timed walks
Palpitations,Caffeine; anxiety; dehydration; arrhythmia; thyroid issues; medication side effect,Deep breathing; Valsalva maneuver; cold water on face; lie down and relax; reduce caffeine,Limit caffeine and alcohol; manage stress; regular exercise; adequate sleep; stay hydrated,Palpitations with chest pain; fainting; severe shortness of breath; lasted more than a few minutes; dizziness,high,Slow deep breathing; Bhramari Pranayama; meditation; gentle walking; avoid vigorous exercise during episode
Toothache,Cavity; gum disease; tooth fracture; abscess; wisdom tooth; tooth sensitivity,Clove oil on affected area; saltwater rinse; cold compress on cheek; over-the-counter pain relief; avoid very hot or cold food,Regular brushing and flossing; dental checkups twice yearly; limit sugary foods; use fluoride toothpaste,Severe persistent pain; swelling of face or jaw; fever; difficulty opening mouth; foul taste from infection,moderate,Jaw relaxation exercises; stress-relieving breathing; Shavasana for pain management
Ear Pain,Ear infection; wax buildup; sinus pressure; TMJ; foreign object,Warm compress against ear; over-the-counter pain relief; chew gum for pressure; olive oil drops for wax,Keep ears dry; don't insert objects in ear canal; treat allergies promptly; regular ENT checkups,Discharge from ear; sudden hearing loss; severe pain with fever; dizziness with ear pain; pain after trauma,moderate,TMJ exercises if jaw-related; neck stretches; stress-reducing breathing; avoid inversions
Numbness or Tingling,Poor circulation; nerve compression; B12 deficiency; diabetes; carpal tunnel,Change position; gentle stretching; massage affected area; warm compress; B-complex vitamins,Regular exercise; ergonomic workspace; avoid repetitive strain; balanced diet with B vitamins,Sudden numbness on one side; numbness with weakness or confusion; loss of bladder control; progressive worsening,high,Wrist stretches for carpal tunnel; nerve gliding exercises; Tadasana; gentle full-body stretching
Nasal Congestion,Common cold; allergies; sinusitis; deviated septum; dry air,Steam inhalation with eucalyptus; saline nasal spray; warm compress on face; elevate head; stay hydrated,Use humidifier; avoid allergens; saline rinse regularly; stay hydrated; clean air filters,Congestion lasting more than 10 days; facial pain with fever; bloody nasal discharge; one-sided symptoms,low,Jala Neti (nasal irrigation); Anulom Vilom; steam inhalation; forward bends
Vomiting,Food poisoning; gastritis; medication side effect; pregnancy; migraine; motion sickness,Sip clear fluids slowly; BRAT diet when ready; rest; avoid solid food initially; ginger or peppermint,Eat small frequent meals; avoid trigger foods; stay hydrated; proper food handling; rest after eating,Blood in vomit; severe dehydration; vomiting after head injury; persistent vomiting over 24hrs; abdominal rigidity,moderate,Rest in reclined position; slow deep breathing; gentle walking when stable; avoid yoga during active vomiting
Bruising Easily,Vitamin deficiency (C or K); medication side effect (blood thinners); aging; liver disease,Vitamin C rich foods; cold compress on bruise; arnica gel; rest affected area; avoid blood-thinning supplements,Balanced diet with vitamin C and K; protect skin; review medications; use padding during exercise,Unexplained large bruises; bruising with nosebleeds or bleeding gums; bruising after starting medication; petechiae,moderate,Gentle exercise; avoid contact sports; strength training to protect tissues; stress-reducing yoga
Excessive Thirst,Dehydration; diabetes; medication side effect; dry mouth; kidney issues,Drink water regularly; suck on ice chips; eat water-rich fruits; limit salty and sugary foods,Monitor water intake; limit caffeine and alcohol; check blood sugar if diabetic; humidify air,Thirst with frequent urination and weight loss; dry mouth not improving; confusion; excessive thirst in child,moderate,Hydration-aware exercise; gentle walking; meditation; avoid hot yoga
Weight Loss Unexplained,Thyroid issues; diabetes; cancer; depression; malabsorption; chronic infection,Eat nutrient-dense foods; small frequent meals; protein-rich diet; keep food diary; consult doctor,Regular meals; balanced nutrition; stress management; regular medical checkups,Loss of more than 5% body weight in 6 months without trying; loss of appetite; fatigue; night sweats,high,Gentle exercise; yoga for appetite; stress-relieving Pranayama; strength exercises to maintain muscle
Hair Loss,Stress; thyroid issues; nutritional deficiency; medication side effect; hormonal changes,Biotin-rich foods; gentle hair care; scalp massage with oil; avoid tight hairstyles; iron-rich diet,Balanced diet with protein and iron; manage stress; avoid excessive heat styling; regular health checkups,Sudden patchy hair loss; hair loss with scalp changes; hair loss after starting medication; associated with other symptoms,low,Stress-reducing yoga; Sasangasana (rabbit pose) for scalp circulation; meditation; regular exercise
Blurred Vision,Eye strain; need for corrective lenses; diabetes; cataracts; glaucoma; medication side effect,Rest eyes; 20-20-20 rule; adjust screen settings; adequate lighting; artificial tears,Regular eye exams; manage blood sugar; wear UV-protective sunglasses; adequate sleep,Sudden vision loss; flashes or floaters; eye pain with vision changes; double vision; dark curtain over vision,high,Palming exercise; eye yoga (rotations); Trataka; take regular screen breaks
Difficulty Swallowing,Sore throat; GERD; anxiety; esophageal issues; neurological conditions,Eat soft foods; chew thoroughly; sip water with meals; elevate head while eating; warm liquids,Eat slowly; small bites; maintain upright posture during and after meals; manage acid reflux,Progressive difficulty swallowing; weight loss; pain with swallowing; choking frequently; regurgitation,high,Chin tuck exercises; gentle neck stretches; Ujjayi breathing; relaxation techniques
Frequent Urination,UTI; diabetes; prostate issues; overactive bladder; caffeine; medication side effect,Pelvic floor exercises (Kegels); limit caffeine; avoid fluids before bedtime; bladder training,Maintain healthy weight; limit caffeine and alcohol; stay hydrated during day; regular checkups,Blood in urine; painful urination with fever; sudden increase in frequency; nighttime waking more than twice,moderate,Kegel exercises; Mula Bandha (root lock); gentle walking; hip-opening stretches
Cold Hands and Feet,Poor circulation; Raynaud's phenomenon; anemia; thyroid issues; peripheral neuropathy,Warm water soak; layered clothing; warm gloves and socks; gentle massage; iron-rich foods,Regular exercise; quit smoking; manage stress; avoid prolonged cold exposure; balanced diet,Color changes in fingers (white blue red); numbness that doesn't resolve; sores on fingertips; associated with chest pain,moderate,Circulation-boosting exercises; toe and finger stretches; Surya Namaskar; brisk walking
Mouth Ulcers,Stress; vitamin deficiency (B12 iron folate); acidic foods; minor trauma; autoimmune,Saltwater rinse; honey application; aloe vera gel; avoid spicy acidic foods; vitamin B complex,Balanced diet with B vitamins; manage stress; good oral hygiene; avoid trigger foods,Ulcers lasting more than 3 weeks; very large ulcers; ulcers with high fever; difficulty eating or drinking,low,Stress-reducing Pranayama; meditation; gentle yoga; adequate rest
Snoring,Obesity; nasal congestion; sleep position; alcohol; sleep apnea,Sleep on side; elevate head; nasal strips; avoid alcohol before bed; maintain healthy weight,Lose weight if overweight; quit smoking; avoid alcohol before sleep; regular sleep schedule,Gasping or choking during sleep; excessive daytime sleepiness; observed breathing pauses; morning headaches,moderate,Pranayama for nasal clearing; singing exercises for throat muscles; Simhasana (lion pose); regular cardio
Hiccups,Eating too fast; carbonated drinks; temperature changes; stress; stomach distension,Hold breath for 10-20 seconds; sip cold water slowly; bite on lemon; gentle pressure on diaphragm,Eat slowly; avoid carbonated drinks; manage stress; avoid overeating,Hiccups lasting more than 48 hours; hiccups with abdominal pain; difficulty eating due to hiccups,low,Diaphragmatic breathing; Kapalabhati (skull-shining breath) when resolved; deep breathing; relaxation
Leg Pain,Muscle cramp; overexertion; poor circulation; DVT; sciatica; peripheral artery disease,Rest and elevate; ice or heat therapy; gentle stretching; massage; over-the-counter pain relief,Regular exercise; proper stretching; stay hydrated; avoid prolonged sitting or standing; good footwear,Sudden severe pain with swelling in one leg; pale or cool leg; pain with numbness; calf pain with redness,moderate,Gentle calf stretches; walking; Virabhadrasana (warrior pose); Supta Padangusthasana
Night Sweats,Menopause; infection; medication side effect; anxiety; lymphoma; hyperthyroidism,Keep bedroom cool; moisture-wicking clothing; avoid spicy food before bed; stay hydrated; light bedding,Regular exercise; manage stress; limit alcohol; maintain cool sleeping environment,Night sweats with unexplained weight loss; persistent night sweats; night sweats with fever and lymph node swelling,moderate,Evening meditation; cooling Pranayama (Sheetali); gentle stretching before bed; yoga nidra
Tremors,Essential tremor; anxiety; caffeine; medication side effect; Parkinson's disease; low blood sugar,Reduce caffeine; stress management; adequate rest; eat regular meals; hold objects with both hands,Limit caffeine; manage stress; regular exercise; adequate sleep; occupational therapy if needed,New onset tremor; tremor getting worse; tremor affecting daily activities; tremor with other neurological symptoms,moderate,Stress-reducing meditation; gentle yoga; Pranayama; tai chi movements
Dry Mouth,Medication side effect; dehydration; breathing through mouth; Sjogren's syndrome; diabetes,Sip water frequently; chew sugar-free gum; use humidifier; saliva substitutes; avoid mouthwash with alcohol,Stay hydrated; use humidifier at night; practice nasal breathing; limit caffeine; regular dental care,Persistent dry mouth affecting eating or speaking; dry mouth with joint pain and dry eyes; difficulty swallowing,low,Nasal breathing exercises; Pranayama; gentle walking with hydration; lip and tongue exercises
Bloating,Overeating; gas; food intolerance; IBS; constipation; swallowing air,Peppermint or fennel tea; gentle walk after meals; avoid carbonated drinks; activated charcoal; warm water,Eat slowly; limit gas-producing foods; regular exercise; identify food intolerances; chew well,Bloating with severe pain; sudden abdominal swelling; bloating with blood in stool; unintended weight loss,low,Pawanmuktasana; Vajrasana after meals; gentle abdominal twists; walking after meals
Wheezing,Asthma; allergies; COPD; respiratory infection; bronchitis,Use prescribed inhaler; steam inhalation; sit upright; stay calm; avoid triggers,Avoid smoke and allergens; use air purifier; exercise regularly; take medications as prescribed,Severe wheezing with use of accessory muscles; blue lips or fingertips; inability to speak; wheezing with high fever,high,Pursed lip breathing; Anulom Vilom when stable; gentle walking; avoid exercise during acute episode
Swollen Lymph Nodes,Infection; immune response; dental issues; autoimmune conditions; rarely cancer,Warm compress; rest; adequate hydration; over-the-counter pain relief; gentle massage,Good hygiene; prompt treatment of infections; balanced nutrition; regular exercise,Painless hard fixed nodes; nodes growing rapidly; nodes persisting more than 2 weeks; associated weight loss or night sweats,moderate,Gentle neck stretches; lymphatic drainage-friendly yoga; walking; stress-reducing meditation
Itchy Skin,Dry skin; eczema; allergic reaction; medication side effect; liver issues,Moisturize regularly; cool compress; oatmeal bath; avoid hot showers; calamine lotion; aloe vera,Use gentle unscented products; moisturize after bathing; wear soft fabrics; humidify air; avoid scratching,Widespread itching with jaundice; itching with shortness of breath; severe unexplained itching; itching with new medication,moderate,Stress-reducing Pranayama; gentle yoga in cool environment; meditation for itch distraction; avoid hot yoga
Rapid Heartbeat,Caffeine; anxiety; dehydration; fever; arrhythmia; hyperthyroidism,Valsalva maneuver; splash cold water on face; deep breathing; lie down; drink water,Limit caffeine and alcohol; manage stress; regular exercise; adequate sleep; stay hydrated,Heart rate above 150 at rest; chest pain with rapid heartbeat; fainting; shortness of breath; lasted prolonged time,high,Slow Pranayama; Shavasana; meditation; gentle walking; avoid vigorous exercise during episodes
Nosebleed,Dry air; nose picking; high blood pressure; blood thinners; nasal infection,Lean forward and pinch nostrils for 10-15 min; cold compress on nose bridge; don't tilt head back; humidify air,Use humidifier; apply petroleum jelly inside nostrils; avoid nose picking; manage blood pressure,Frequent heavy nosebleeds; nosebleed after injury; nosebleed with blood thinners not stopping; bleeding from gums too,moderate,Gentle Pranayama for nasal health; avoid inversions during nosebleed; Jala Neti preventively; stress management
Memory Problems,Stress; poor sleep; vitamin deficiency; medication side effect; aging; depression,Adequate sleep; mental exercises (puzzles crosswords); omega-3 rich foods; organized routines; social engagement,Regular exercise; brain-stimulating activities; balanced diet; quality sleep; stress management; social interaction,Rapidly worsening memory; confusion about time or place; memory loss affecting daily life; memory loss after head injury,moderate,Meditation; Pranayama for focus; Padmasana (lotus pose) with concentration; regular aerobic exercise
Chest Tightness,Anxiety; asthma; GERD; muscle strain; cardiac conditions,Deep breathing exercises; sit upright; loosen clothing; warm compress for muscular; antacids for GERD,Manage stress; regular exercise; avoid triggers; practice relaxation techniques,Progressive tightness; tightness with arm or jaw pain; with sweating; with shortness of breath; during exertion,critical,Seek medical clearance first; Pranayama after clearance; gentle walking; chest-opening stretches after evaluation
