name,active_salt,category,common_use
Theophylline,Theophylline,Bronchodilator,Asthma and COPD
Domperidone,Domperidone,Antiemetic,Nausea and vomiting
Ondansetron,Ondansetron,Antiemetic,Nausea and vomiting prevention
Metoclopramide,Metoclopramide,Antiemetic/Prokinetic,Nausea and gastroparesis
Loperamide,Loperamide,Antidiarrheal,Diarrhea relief
Bisacodyl,Bisacodyl,Laxative,Constipation relief
Lactulose,Lactulose,Osmotic Laxative,Constipation and hepatic encephalopathy
Diclofenac,Diclofenac,NSAID,Pain and inflammation
Naproxen,Naproxen,NSAID,Pain and inflammation
Celecoxib,Celecoxib,COX-2 Inhibitor,Pain and inflammation
Tramadol,Tramadol,Opioid Analgesic,Moderate to severe pain
Morphine,Morphine,Opioid Analgesic,Severe pain management
Codeine,Codeine,Opioid Analgesic,Mild to moderate pain and cough
Fentanyl,Fentanyl,Opioid Analgesic,Severe chronic pain
Cyclobenzaprine,Cyclobenzaprine,Muscle Relaxant,Muscle spasm relief
Baclofen,Baclofen,Muscle Relaxant,Muscle spasticity
Tizanidine,Tizanidine,Muscle Relaxant,Muscle spasticity
Tamsulosin,Tamsulosin,Alpha Blocker,Benign prostatic hyperplasia
Sildenafil,Sildenafil,PDE5 Inhibitor,Erectile dysfunction and PAH
Finasteride,Finasteride,5-Alpha Reductase Inhibitor,Benign prostatic hyperplasia and hair loss
Methotrexate,Methotrexate,Immunosuppressant,Rheumatoid arthritis and cancer
Hydroxychloroquine,Hydroxychloroquine,Antimalarial/Immunomodulator,Lupus and rheumatoid arthritis
Allopurinol,Allopurinol,Xanthine Oxidase Inhibitor,Gout prevention
Colchicine,Colchicine,Anti-inflammatory,Gout flare treatment
Acetylcysteine,N-Acetylcysteine,Mucolytic,Mucus thinning and acetaminophen overdose
Dextromethorphan,Dextromethorphan,Antitussive,Cough suppression
Guaifenesin,Guaifenesin,Expectorant,Productive cough and mucus clearance
Pseudoephedrine,Pseudoephedrine,Decongestant,Nasal congestion relief
Oxymetazoline,Oxymetazoline,Decongestant,Nasal congestion relief (spray)
Clopidogrel,Clopidogrel,Antiplatelet,Blood clot prevention
Nitroglycerin,Nitroglycerin,Vasodilator,Angina and chest pain relief
Digoxin,Digoxin,Cardiac Glycoside,Heart failure and atrial fibrillation
Amiodarone,Amiodarone,Antiarrhythmic,Heart rhythm disorders
Verapamil,Verapamil,Calcium Channel Blocker,Heart rhythm and blood pressure
Diltiazem,Diltiazem,Calcium Channel Blocker,Angina and high blood pressure
Clindamycin,Clindamycin,Antibiotic,Serious bacterial infections
Cephalexin,Cephalexin,Cephalosporin Antibiotic,Bacterial infections
Levofloxacin,Levofloxacin,Fluoroquinolone Antibiotic,Bacterial infections
Fluconazole,Fluconazole,Antifungal,Fungal infections
Ketoconazole,Ketoconazole,Antifungal,Fungal infections
Acyclovir,Acyclovir,Antiviral,Herpes and viral infections
Oseltamivir,Oseltamivir,Antiviral,Influenza treatment
Ivermectin,Ivermectin,Antiparasitic,Parasitic infections
Mebendazole,Mebendazole,Anthelmintic,Worm infections
Iron Supplement,Ferrous Sulfate,Mineral Supplement,Iron deficiency anemia
Calcium Supplement,Calcium Carbonate,Mineral Supplement,Calcium deficiency
Vitamin D,Cholecalciferol,Vitamin Supplement,Vitamin D deficiency
Vitamin B12,Cyanocobalamin,Vitamin Supplement,B12 deficiency and anemia
Folic Acid,Folic Acid,Vitamin Supplement,Pregnancy support and anemia prevention
Zinc Supplement,Zinc Gluconate,Mineral Supplement,Immune support and zinc deficiency
Melatonin,Melatonin,Sleep Aid,Sleep regulation
